Sr_No,Location_Coordinates,Location,Hospital_Name,Address_Original_First_Line,State,District,Subdistrict,Pincode,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
23751,,"No:106, R.K.Mutt Road, Mylapore",Ag Eye Care Hospital,"No:106, R.K.Mutt Road, Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23752,,"3, P S Sivasami Salai Mylapore",Avm Medical Ent Research Foundation Pvt Ltd,"3, P S Sivasami Salai Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23753,,"148, Luz Church Road Mylapore",Chennai Meenakshi Multispeciality Hospital Ltd,"148, Luz Church Road Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23754,,"15, Dr. Radhakrishnan Salai, Mylapore",Csi Kalyani General Hospital,"# 15, Dr. Radhakrishnan Salai, Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,044  28475870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23755,,"148, Luz Church Road Mylapore",Devaki Hospital Ltd,"148, Luz Church Road Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23756,,No. 03 2Nd Link Street. Cit Colony,Dr. K Ravi Eye Care,No. 03 2Nd Link Street. Cit Colony,Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23757,,4Second Street Dr Radhakrishnan Road Mylapore,E V Kalyani Medical Centre,4Second Street Dr Radhakrishnan Road Mylapore,Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23758,,"No. 23, Arulanandam Street, Santhome, Mylapore.",Fathimah Eye Clinic,"No. 23, Arulanandam Street, Santhome",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23759,,"120/113, Perambur Barracks Road, Purasawalkam",G K M Hospital Pvt Ltd,"120/113, Perambur Barracks Road, Purasawalkam",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,044  43903344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23760,,"119, Shanmugam Road, West Tambaram,",Kasthuri Hospital,"119, Shanmugam Road, West Tambaram",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23761,,"No.199/90, Mbc Towers,",Kauvery Hospital (Unit Of Sri Kavery Medical Care (Trichy) Ltd.),"No.199/90, Mbc Towers",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23762,,"15, P.S.Sivasamy Salai, Off Dr.Radhakrishnan Raod) Mylapore,",Madras Ent Research Foundation,"15, P.S.Sivasamy Salai, Off Dr.Radhakrishnan Raod) Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23763,,"56, Dr.Radha Krishnan Salai,Opposite Kalyani Hospital,Mylapore.",Rajan Dental Institute Pvt. Ltd.,"#56, Dr.Radha Krishnan Salai,Opposite Kalyani Hospital,Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,28472410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23764,,"320-A(47-A),Velachery Main Road,Velachery",Ramana Clinic And Nursing Home,"320-A(47-A),Velachery Main Road,Velachery",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23765,,"4, Nachiappa Street Mylapore",Sampat Nursing Home,"4, Nachiappa Street Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23766,,"35 A, Santhome High Road, Marina Beach","Sinus And Nose Hospital - Mylapore, Chennai","35 A, Santhome High Road, Marina Beach",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23767,,"37,Oid#17Bheemasena Garden St., Mylapore",Sri Sayee Poly Clinic,"#37,Oid#17Bheemasena Garden St., Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23768,,"49, Oliver Rd,Near Vivekananda College,Mylapore.",St.Isabel's Hospital,"#49, Oliver Rd,Near Vivekananda College,Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23769,,"W - 98, Second Avenue West Madras Medical Centre",Sunder Eye Hospital,"W - 98, Second Avenue West Madras Medical Centre",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,2620 4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23770,,"No. 33, Desikan Road, Mylapore",Trinity Acute Care Hospital - Chennai,"No. 33, Desikan Road, Mylapore",Tamil Nadu,Chennai,0,600004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23771,,"No: 360, Triplicane High Road, Triplicane,",Dr Agarwals Eye Hospital,"No: 360, Triplicane High Road, Triplicane",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23772,,"New119, Old No.56, Dr.Natesan Road, Triplicane,",Fousiya Hospital,"New#119, Old No.56, Dr.Natesan Road, Triplicane",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23773,,"Old No-25 New No:53, Big Street, Near Hindu Higher Secondary School",Hiba Hospital,"Old No-25 New No:53, Big Street, Near Hindu Higher Secondary School",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23774,,"43, Irusappa St., Triplicane, Cheenai",Mm Harshine Veda Health Centre,"#43, Irusappa St., Triplicane",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23775,,"258, Triplicane High Road, Dist - Triplicane",R.R. Multispeciality Hospital,"258, Triplicane High Road, Dist - Triplicane",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23776,,No.241 Triplicane High Road Triplicane,Rathna Nursing Home,No.241 Triplicane High Road Triplicane,Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23777,,"136 (295), Triplicane High Road",Siva E N T Hospital,"136 (295), Triplicane High Road",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23778,,"2, Pillaiyar Koil Street, Triplicane",Star Bone Joint Center,"# 2, Pillaiyar Koil Street, Triplicane",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23779,,"Old 239, Triplicane Hig Road,",Subam Nursing Home,"Old # 239 , Triplicane Hig Road",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23780,,"No.100/101, Triplicane High Road, Triplicane",Vasan Eye Care Hospital,"No.100/101, Triplicane High Road",Tamil Nadu,Chennai,0,600005,0,0,0,0,0,0,0,044  39923030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23781,,"21, Greams Lane, Off. Greams Road,",Apollo Hospitals,"21, Greams Lane, Off. Greams Road",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,91  44  28294429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23782,,"72, I Main Road,Naganallur.",Bharath Hospital,"# 72, I Main Road,Naganallur",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23783,,"Ehrlich Laboratory, Kothi Apartments 1-D, 46 (New 14), College Road,",Dr.Meenakshi Dhamija,"Ehrlich Laboratory, Kothi Apartments 1-D, 46 (New 14), College Road",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
23784,,"8, 3Rd Street, Subba Rao Avenue",Hillwoods Multidisciplinary Health Service,"8, 3Rd Street, Subba Rao Avenue",Tamil Nadu,Chennai,0,600006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,603
